,Excess return Dev,AFD
12/30/1983,-1.19%,-0.16%
1/31/1984,-3.42%,-0.19%
2/29/1984,5.94%,-0.16%
3/30/1984,0.31%,0.01%
4/30/1984,-4.00%,-0.14%
5/31/1984,-0.96%,-0.20%
6/29/1984,-2.24%,-0.21%
7/31/1984,-4.31%,-0.27%
8/31/1984,0.49%,-0.23%
9/28/1984,-5.32%,-0.27%
10/31/1984,0.21%,-0.20%
11/30/1984,-1.84%,-0.10%
12/31/1984,-2.02%,-0.08%
1/31/1985,-0.88%,0.06%
2/28/1985,-5.40%,0.10%
3/29/1985,6.14%,-0.10%
4/30/1985,-0.72%,0.36%
5/31/1985,1.45%,0.22%
6/28/1985,1.86%,0.31%
7/31/1985,6.80%,0.30%
8/30/1985,-0.16%,0.27%
9/30/1985,3.92%,0.30%
10/31/1985,2.51%,0.28%
11/29/1985,2.88%,0.33%
12/31/1985,0.07%,0.18%
1/31/1986,2.27%,0.25%
2/28/1986,4.91%,0.30%
3/31/1986,-1.61%,0.33%
4/30/1986,6.09%,0.32%
5/30/1986,-5.55%,0.26%
6/30/1986,3.59%,0.18%
7/31/1986,1.72%,0.20%
8/29/1986,1.18%,0.23%
9/30/1986,0.40%,0.29%
10/31/1986,-1.21%,0.27%
11/28/1986,2.96%,0.25%
12/31/1986,2.40%,0.30%
1/30/1987,3.80%,0.29%
2/27/1987,1.29%,0.30%
3/31/1987,2.59%,0.41%
4/30/1987,1.14%,0.25%
5/29/1987,-0.97%,0.23%
6/30/1987,0.06%,0.12%
7/31/1987,-1.63%,0.14%
8/31/1987,2.72%,0.17%
9/30/1987,-0.52%,0.16%
10/30/1987,3.16%,0.08%
11/30/1987,5.16%,0.17%
12/31/1987,3.82%,-0.04%
1/29/1988,-4.39%,0.12%
2/29/1988,-0.05%,0.11%
3/31/1988,2.17%,0.13%
4/29/1988,-0.16%,0.11%
5/31/1988,-1.11%,0.10%
6/30/1988,-4.93%,-0.03%
7/29/1988,-1.23%,0.06%
8/31/1988,-1.94%,-0.11%
9/30/1988,0.39%,0.04%
10/31/1988,4.59%,0.04%
11/30/1988,3.09%,0.04%
12/30/1988,-2.24%,-0.04%
1/31/1989,-3.63%,0.00%
2/28/1989,0.99%,0.01%
3/31/1989,-2.65%,0.28%
4/28/1989,0.24%,-0.04%
5/31/1989,-4.76%,0.01%
6/30/1989,0.54%,0.07%
7/31/1989,4.04%,0.08%
8/31/1989,-3.28%,0.15%
9/29/1989,3.07%,0.12%
10/31/1989,0.65%,0.14%
11/30/1989,1.79%,0.21%
12/29/1989,3.24%,0.22%
1/31/1990,0.94%,0.28%
2/28/1990,-0.24%,0.21%
3/30/1990,-0.36%,0.30%
4/30/1990,0.82%,0.25%
5/31/1990,0.49%,0.26%
6/29/1990,2.15%,0.24%
7/31/1990,3.95%,0.23%
8/31/1990,1.57%,0.28%
9/28/1990,0.45%,-0.22%
10/31/1990,2.15%,0.22%
11/30/1990,0.40%,0.25%
12/31/1990,-0.55%,0.20%
1/31/1991,1.84%,0.27%
2/28/1991,-1.80%,0.29%
3/29/1991,-7.77%,0.23%
4/30/1991,0.49%,0.33%
5/31/1991,-0.91%,0.35%
6/28/1991,-2.85%,0.31%
7/31/1991,2.64%,0.30%
8/30/1991,0.45%,0.32%
9/30/1991,3.99%,0.32%
10/31/1991,-0.14%,0.34%
