location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,betabab_1260d,daily,vw_cap,-1,161,76,1928-08-01,-0.00444503337247624
usa,betabab_1260d,daily,vw_cap,-1,160,75,1928-08-02,0.0029692663557176
usa,betabab_1260d,daily,vw_cap,-1,161,76,1928-08-03,-0.00516015440039567
usa,betabab_1260d,daily,vw_cap,-1,159,75,1928-08-04,-0.00744364275178628
usa,betabab_1260d,daily,vw_cap,-1,161,76,1928-08-06,-0.00264330104578772
usa,betabab_1260d,daily,vw_cap,-1,161,76,1928-08-07,0.00208998029074233
usa,betabab_1260d,daily,vw_cap,-1,159,76,1928-08-08,0.0100807951183396
usa,betabab_1260d,daily,vw_cap,-1,161,76,1928-08-09,-0.0023200246255598
usa,betabab_1260d,daily,vw_cap,-1,161,76,1928-08-10,-0.00147850442622349
usa,betabab_1260d,daily,vw_cap,-1,161,76,1928-08-11,-0.00100234476192116
usa,betabab_1260d,daily,vw_cap,-1,161,76,1928-08-13,0.000677154090873595
usa,betabab_1260d,daily,vw_cap,-1,161,76,1928-08-14,0.00235314397228444
usa,betabab_1260d,daily,vw_cap,-1,161,76,1928-08-15,-0.0127015518332111
usa,betabab_1260d,daily,vw_cap,-1,161,76,1928-08-16,-0.00429256629151431
usa,betabab_1260d,daily,vw_cap,-1,160,76,1928-08-17,-0.00213042974936248
usa,betabab_1260d,daily,vw_cap,-1,161,76,1928-08-18,-0.000500496962886698
usa,betabab_1260d,daily,vw_cap,-1,161,76,1928-08-20,0.000972740563685991
usa,betabab_1260d,daily,vw_cap,-1,161,76,1928-08-21,-0.00320385315040178
usa,betabab_1260d,daily,vw_cap,-1,161,76,1928-08-22,-0.00424069940708556
usa,betabab_1260d,daily,vw_cap,-1,159,75,1928-08-23,0.0035993216364214
usa,betabab_1260d,daily,vw_cap,-1,160,76,1928-08-24,-0.0107085635952054
usa,betabab_1260d,daily,vw_cap,-1,160,76,1928-08-25,-0.00215115998046051
usa,betabab_1260d,daily,vw_cap,-1,160,76,1928-08-27,-0.0000449167829997097
usa,betabab_1260d,daily,vw_cap,-1,160,76,1928-08-28,-0.00504072272931711
usa,betabab_1260d,daily,vw_cap,-1,160,76,1928-08-29,-0.00129205616807675
usa,betabab_1260d,daily,vw_cap,-1,159,75,1928-08-30,-0.000502054611280844
usa,betabab_1260d,daily,vw_cap,-1,160,76,1928-08-31,-0.0124687481452953
usa,betabab_1260d,daily,vw_cap,-1,208,98,1928-09-01,-0.00307715538590502
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-04,0.00162387275657818
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-05,-0.00269293057546478
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-06,0.00425183067562004
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-07,-0.00962027542949409
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-08,0.00327530357576399
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-10,0.00212774071019175
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-11,-0.0121552271471889
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-12,-0.000476973645688505
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-13,-0.000844063667343274
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-14,0.000206858679911116
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-15,-0.00744555271101097
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-17,-0.00377267582955694
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-18,0.00484902567969575
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-19,-0.000541296127710718
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-20,-0.00229378975352405
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-21,-0.00763575492613067
usa,betabab_1260d,daily,vw_cap,-1,208,98,1928-09-22,-0.000577733470236099
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-24,-0.00654386465342356
usa,betabab_1260d,daily,vw_cap,-1,208,98,1928-09-25,-0.00462536915101244
usa,betabab_1260d,daily,vw_cap,-1,208,99,1928-09-26,0.00631613675000419
usa,betabab_1260d,daily,vw_cap,-1,208,98,1928-09-27,0.0148813208096825
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-28,-0.00506262801065145
usa,betabab_1260d,daily,vw_cap,-1,209,99,1928-09-29,-0.00498156515314384
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-01,0.00299709796544478
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-02,0.00128707972845299
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-03,-0.00301813510072997
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-04,-0.00506663308064181
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-05,-0.00488620007186764
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-06,0.00061642692030788
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-08,0.00339465455435293
usa,betabab_1260d,daily,vw_cap,-1,227,106,1928-10-09,-0.00413320606700353
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-10,-0.00662628140019847
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-11,-0.000426725664313005
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-13,-0.00707230218951022
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-15,-0.00231702326872615
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-16,0.00120611087266273
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-17,-0.00166567990501816
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-18,-0.000305560504071814
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-19,-0.00888647182657303
usa,betabab_1260d,daily,vw_cap,-1,226,105,1928-10-20,0.00646012551202614
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-22,0.00935810030426063
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-23,-0.00338255895198482
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-24,0.000199103622737759
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-25,0.00361980119501471
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-26,0.0137659943238712
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-27,-0.0113946030193625
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-29,0.000878180289779577
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-30,0.00840739826658646
usa,betabab_1260d,daily,vw_cap,-1,228,107,1928-10-31,0.00522721424447304
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-01,-0.00996263366631783
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-02,0.000555923005354778
usa,betabab_1260d,daily,vw_cap,-1,240,111,1928-11-03,-0.000410127438171266
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-05,-0.00917815737233999
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-07,-0.0077959752449187
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-08,0.00460420792883113
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-09,-0.00276142153362639
usa,betabab_1260d,daily,vw_cap,-1,240,110,1928-11-10,-0.00599834644919191
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-12,-0.00290944067770141
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-13,0.000775631963478739
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-14,0.000835178057845114
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-15,-0.00105168982386832
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-16,-0.0157616052555879
usa,betabab_1260d,daily,vw_cap,-1,240,110,1928-11-17,0.00122930254738692
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-19,0.000440769421808799
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-20,-0.00121662721585437
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-21,0.0111661452762041
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-22,-0.0181345125957919
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-23,0.00557491073469215
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-26,-0.00357360010853316
usa,betabab_1260d,daily,vw_cap,-1,240,111,1928-11-27,-0.00453397478242943
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-28,-0.00647899067903546
usa,betabab_1260d,daily,vw_cap,-1,241,111,1928-11-30,0.00366806915590753
usa,betabab_1260d,daily,vw_cap,-1,249,115,1928-12-01,0.00818029786976243
usa,betabab_1260d,daily,vw_cap,-1,250,116,1928-12-03,0.00170775161932496
usa,betabab_1260d,daily,vw_cap,-1,250,116,1928-12-04,-0.00453898127912864
usa,betabab_1260d,daily,vw_cap,-1,249,115,1928-12-05,-0.00317229102265267
usa,betabab_1260d,daily,vw_cap,-1,250,116,1928-12-06,0.030313185894736
usa,betabab_1260d,daily,vw_cap,-1,249,115,1928-12-07,0.0159289448112175
usa,betabab_1260d,daily,vw_cap,-1,249,116,1928-12-08,0.0234132903229815
usa,betabab_1260d,daily,vw_cap,-1,249,115,1928-12-10,-0.0174856030086087
usa,betabab_1260d,daily,vw_cap,-1,250,116,1928-12-11,-0.0164316072547212
usa,betabab_1260d,daily,vw_cap,-1,250,116,1928-12-12,0.00733476166846213
usa,betabab_1260d,daily,vw_cap,-1,250,116,1928-12-13,-0.0027044026968068
usa,betabab_1260d,daily,vw_cap,-1,250,116,1928-12-14,0.00081788799131781
usa,betabab_1260d,daily,vw_cap,-1,250,116,1928-12-15,0.005955179969478
usa,betabab_1260d,daily,vw_cap,-1,249,115,1928-12-17,-0.00111542346452723
usa,betabab_1260d,daily,vw_cap,-1,250,116,1928-12-18,-0.0124686745819341
usa,betabab_1260d,daily,vw_cap,-1,249,115,1928-12-19,-0.0102920517276097
usa,betabab_1260d,daily,vw_cap,-1,249,115,1928-12-20,-0.00310910702932501
usa,betabab_1260d,daily,vw_cap,-1,250,116,1928-12-21,-0.0103620076593495
usa,betabab_1260d,daily,vw_cap,-1,250,116,1928-12-22,0.00152888671834248
usa,betabab_1260d,daily,vw_cap,-1,248,114,1928-12-24,-0.00602628195240674
usa,betabab_1260d,daily,vw_cap,-1,249,116,1928-12-26,0.00843535220851444
usa,betabab_1260d,daily,vw_cap,-1,249,115,1928-12-27,-0.009476904875381
usa,betabab_1260d,daily,vw_cap,-1,250,116,1928-12-28,-0.0136813068878855
usa,betabab_1260d,daily,vw_cap,-1,249,115,1928-12-29,0.0019394415468972
usa,betabab_1260d,daily,vw_cap,-1,250,116,1928-12-31,-0.00922336719584591
usa,betabab_1260d,daily,vw_cap,-1,260,122,1929-01-02,-0.011312603386978
usa,betabab_1260d,daily,vw_cap,-1,260,122,1929-01-03,0.00741233908578394
usa,betabab_1260d,daily,vw_cap,-1,260,122,1929-01-04,0.00273141165609438
usa,betabab_1260d,daily,vw_cap,-1,260,122,1929-01-05,0.0105753742148542
usa,betabab_1260d,daily,vw_cap,-1,260,122,1929-01-07,0.00431669521455236
usa,betabab_1260d,daily,vw_cap,-1,260,122,1929-01-08,0.00716481404618819
usa,betabab_1260d,daily,vw_cap,-1,260,122,1929-01-09,-0.0156814376195426
usa,betabab_1260d,daily,vw_cap,-1,258,121,1929-01-10,-0.00229873329891841
usa,betabab_1260d,daily,vw_cap,-1,258,121,1929-01-11,0.00411988738838721
usa,betabab_1260d,daily,vw_cap,-1,259,122,1929-01-12,0.00227080850130256
usa,betabab_1260d,daily,vw_cap,-1,259,122,1929-01-14,-0.00247290437447344
usa,betabab_1260d,daily,vw_cap,-1,259,122,1929-01-15,0.0116765604077445
usa,betabab_1260d,daily,vw_cap,-1,260,122,1929-01-16,-0.00937052026385592
usa,betabab_1260d,daily,vw_cap,-1,259,121,1929-01-17,-0.00920204069552911
usa,betabab_1260d,daily,vw_cap,-1,260,122,1929-01-18,0.000837706208353944
usa,betabab_1260d,daily,vw_cap,-1,260,122,1929-01-19,-0.00129510828127021
usa,betabab_1260d,daily,vw_cap,-1,260,122,1929-01-21,-0.000780658730949285
usa,betabab_1260d,daily,vw_cap,-1,260,122,1929-01-22,-0.00211549777724785
usa,betabab_1260d,daily,vw_cap,-1,259,121,1929-01-23,-0.000150669491651468
usa,betabab_1260d,daily,vw_cap,-1,259,121,1929-01-24,0.00311140627954233
usa,betabab_1260d,daily,vw_cap,-1,258,120,1929-01-25,-0.00197925349400053
usa,betabab_1260d,daily,vw_cap,-1,253,117,1929-01-26,0.000688105059512161
usa,betabab_1260d,daily,vw_cap,-1,259,121,1929-01-28,0.00529211359981825
usa,betabab_1260d,daily,vw_cap,-1,260,122,1929-01-29,0.0000939929499721678
usa,betabab_1260d,daily,vw_cap,-1,259,121,1929-01-30,0.00381406893634773
usa,betabab_1260d,daily,vw_cap,-1,260,122,1929-01-31,-0.00982628907486627
usa,betabab_1260d,daily,vw_cap,-1,261,123,1929-02-01,-0.00317340973748908
usa,betabab_1260d,daily,vw_cap,-1,261,124,1929-02-02,0.00478107280460301
usa,betabab_1260d,daily,vw_cap,-1,261,123,1929-02-04,0.00314285218000059
usa,betabab_1260d,daily,vw_cap,-1,262,124,1929-02-05,-0.00592204595990982
usa,betabab_1260d,daily,vw_cap,-1,262,124,1929-02-06,-0.00161443334504352
usa,betabab_1260d,daily,vw_cap,-1,260,122,1929-02-07,0.0195041639102117
usa,betabab_1260d,daily,vw_cap,-1,261,123,1929-02-08,0.00516650175751674
usa,betabab_1260d,daily,vw_cap,-1,261,123,1929-02-11,-0.0250196409534357
usa,betabab_1260d,daily,vw_cap,-1,262,124,1929-02-13,-0.00272220664945294
usa,betabab_1260d,daily,vw_cap,-1,261,123,1929-02-14,-0.00364915360515552
usa,betabab_1260d,daily,vw_cap,-1,261,124,1929-02-15,0.0139637455348894
usa,betabab_1260d,daily,vw_cap,-1,261,123,1929-02-16,0.0102789934947992
usa,betabab_1260d,daily,vw_cap,-1,261,123,1929-02-18,-0.0210923859365178
usa,betabab_1260d,daily,vw_cap,-1,261,123,1929-02-19,0.00335061797323198
usa,betabab_1260d,daily,vw_cap,-1,262,124,1929-02-20,-0.0048948358171569
usa,betabab_1260d,daily,vw_cap,-1,262,124,1929-02-21,-0.00510171934548473
usa,betabab_1260d,daily,vw_cap,-1,260,122,1929-02-25,-0.000893444711426586
usa,betabab_1260d,daily,vw_cap,-1,262,124,1929-02-26,-0.00711981490679258
usa,betabab_1260d,daily,vw_cap,-1,261,123,1929-02-27,-0.01054148371819
usa,betabab_1260d,daily,vw_cap,-1,262,124,1929-02-28,-0.00972083408205616
usa,betabab_1260d,daily,vw_cap,-1,272,129,1929-03-01,-0.0073210705655822
usa,betabab_1260d,daily,vw_cap,-1,268,126,1929-03-02,0.00452440722066066
usa,betabab_1260d,daily,vw_cap,-1,271,128,1929-03-04,0.0105870117981977
usa,betabab_1260d,daily,vw_cap,-1,272,129,1929-03-05,0.00686879867205524
usa,betabab_1260d,daily,vw_cap,-1,272,129,1929-03-06,0.0148592865972472
usa,betabab_1260d,daily,vw_cap,-1,272,129,1929-03-07,-0.012552762597674
usa,betabab_1260d,daily,vw_cap,-1,272,129,1929-03-08,-0.0112523272967336
usa,betabab_1260d,daily,vw_cap,-1,271,128,1929-03-09,0.00772673671756087
usa,betabab_1260d,daily,vw_cap,-1,272,129,1929-03-11,0.0124034484118117
usa,betabab_1260d,daily,vw_cap,-1,272,129,1929-03-12,-0.0072609684616165
usa,betabab_1260d,daily,vw_cap,-1,272,129,1929-03-13,-0.00672172565730563
usa,betabab_1260d,daily,vw_cap,-1,270,127,1929-03-14,-0.0109474564257686
usa,betabab_1260d,daily,vw_cap,-1,270,128,1929-03-15,-0.00928112831783818
usa,betabab_1260d,daily,vw_cap,-1,270,127,1929-03-16,-0.0023236073477966
usa,betabab_1260d,daily,vw_cap,-1,272,129,1929-03-18,0.00990332740584163
usa,betabab_1260d,daily,vw_cap,-1,272,129,1929-03-19,0.00259074953169142
usa,betabab_1260d,daily,vw_cap,-1,271,129,1929-03-20,-0.00501717040703239
usa,betabab_1260d,daily,vw_cap,-1,271,129,1929-03-21,0.00264666415710011
usa,betabab_1260d,daily,vw_cap,-1,272,129,1929-03-22,0.007492161606759
usa,betabab_1260d,daily,vw_cap,-1,272,129,1929-03-23,0.00776162197474465
usa,betabab_1260d,daily,vw_cap,-1,270,127,1929-03-25,0.0292089243478581
usa,betabab_1260d,daily,vw_cap,-1,269,128,1929-03-26,0.00478962768476774
usa,betabab_1260d,daily,vw_cap,-1,270,128,1929-03-27,-0.019413771648594
usa,betabab_1260d,daily,vw_cap,-1,272,129,1929-03-28,-0.00998085021773898
usa,betabab_1260d,daily,vw_cap,-1,276,131,1929-04-01,0.0146539788376067
usa,betabab_1260d,daily,vw_cap,-1,276,131,1929-04-02,-0.0108169522970992
usa,betabab_1260d,daily,vw_cap,-1,278,132,1929-04-03,0.00797501339274746
usa,betabab_1260d,daily,vw_cap,-1,275,130,1929-04-04,-0.00816733438296255
usa,betabab_1260d,daily,vw_cap,-1,276,130,1929-04-05,0.0115774942375207
usa,betabab_1260d,daily,vw_cap,-1,275,130,1929-04-06,0.00177944052949868
usa,betabab_1260d,daily,vw_cap,-1,275,130,1929-04-08,0.0106003403565747
usa,betabab_1260d,daily,vw_cap,-1,278,132,1929-04-09,0.00618350700813005
usa,betabab_1260d,daily,vw_cap,-1,276,130,1929-04-10,-0.00791727020261706
usa,betabab_1260d,daily,vw_cap,-1,277,131,1929-04-11,-0.00354998392302576
usa,betabab_1260d,daily,vw_cap,-1,277,132,1929-04-12,-0.0054488375535199
usa,betabab_1260d,daily,vw_cap,-1,278,132,1929-04-13,0.000138219269795469
usa,betabab_1260d,daily,vw_cap,-1,277,131,1929-04-15,0.00810786946061369
usa,betabab_1260d,daily,vw_cap,-1,275,130,1929-04-16,-0.000745254269277381
usa,betabab_1260d,daily,vw_cap,-1,276,130,1929-04-17,-0.0096196536942642
usa,betabab_1260d,daily,vw_cap,-1,278,132,1929-04-18,-0.00131400007290248
usa,betabab_1260d,daily,vw_cap,-1,278,132,1929-04-19,0.00379143680358266
usa,betabab_1260d,daily,vw_cap,-1,278,132,1929-04-20,0.000251033210543078
usa,betabab_1260d,daily,vw_cap,-1,278,132,1929-04-22,-0.0073182492444368
usa,betabab_1260d,daily,vw_cap,-1,278,132,1929-04-23,-0.00346168817345267
usa,betabab_1260d,daily,vw_cap,-1,278,132,1929-04-24,0.00541312499427598
usa,betabab_1260d,daily,vw_cap,-1,276,130,1929-04-25,0.00375266917754265
usa,betabab_1260d,daily,vw_cap,-1,278,132,1929-04-26,-0.00038817665770844
usa,betabab_1260d,daily,vw_cap,-1,277,131,1929-04-27,-0.00922017412136207
