location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,gp_at,daily,vw_cap,1,10,5,1950-11-01,-0.0182422391892625
usa,gp_at,daily,vw_cap,1,10,5,1950-11-02,-0.000591319134416908
usa,gp_at,daily,vw_cap,1,10,5,1950-11-03,0.00868585290135155
usa,gp_at,daily,vw_cap,1,10,5,1950-11-04,-0.000616889714237646
usa,gp_at,daily,vw_cap,1,10,5,1950-11-06,0.0231854061691599
usa,gp_at,daily,vw_cap,1,10,5,1950-11-08,-0.0276370262807658
usa,gp_at,daily,vw_cap,1,10,5,1950-11-09,-0.000674434177230931
usa,gp_at,daily,vw_cap,1,10,5,1950-11-10,0.00726277168116387
usa,gp_at,daily,vw_cap,1,10,5,1950-11-13,-0.008302884433558
usa,gp_at,daily,vw_cap,1,10,5,1950-11-14,0.0036060369121815
usa,gp_at,daily,vw_cap,1,10,5,1950-11-15,-0.0153902270409935
usa,gp_at,daily,vw_cap,1,10,5,1950-11-16,0.00326351625731992
usa,gp_at,daily,vw_cap,1,10,5,1950-11-17,-0.00157077660301898
usa,gp_at,daily,vw_cap,1,10,5,1950-11-18,-0.00386796891103653
usa,gp_at,daily,vw_cap,1,10,5,1950-11-20,-0.00362199977031208
usa,gp_at,daily,vw_cap,1,10,5,1950-11-21,-0.000642121085478244
usa,gp_at,daily,vw_cap,1,10,5,1950-11-22,-0.0218312232943282
usa,gp_at,daily,vw_cap,1,10,5,1950-11-24,-0.00398441574984741
usa,gp_at,daily,vw_cap,1,10,5,1950-11-25,-0.000793453235979855
usa,gp_at,daily,vw_cap,1,10,5,1950-11-27,0.00868225713721005
usa,gp_at,daily,vw_cap,1,10,5,1950-11-28,-0.0205822029544319
usa,gp_at,daily,vw_cap,1,10,5,1950-11-29,-0.0100266932683592
usa,gp_at,daily,vw_cap,1,10,5,1950-11-30,0.00472260611115467
usa,gp_at,daily,vw_cap,1,13,6,1950-12-01,0.00340009449489334
usa,gp_at,daily,vw_cap,1,13,6,1950-12-02,-0.00200369507450999
usa,gp_at,daily,vw_cap,1,13,6,1950-12-04,0.00158682058056986
usa,gp_at,daily,vw_cap,1,13,6,1950-12-05,-0.00774548228923071
usa,gp_at,daily,vw_cap,1,13,6,1950-12-06,-0.00411606083943057
usa,gp_at,daily,vw_cap,1,13,6,1950-12-07,-0.00357791271774241
usa,gp_at,daily,vw_cap,1,13,6,1950-12-08,-0.00814509930664265
usa,gp_at,daily,vw_cap,1,13,6,1950-12-09,-0.00364117485249942
usa,gp_at,daily,vw_cap,1,13,6,1950-12-11,0.00385507766527956
usa,gp_at,daily,vw_cap,1,13,6,1950-12-12,0.0228436650946644
usa,gp_at,daily,vw_cap,1,13,6,1950-12-13,-0.000162154631953226
usa,gp_at,daily,vw_cap,1,13,6,1950-12-14,-0.00759614148296934
usa,gp_at,daily,vw_cap,1,13,6,1950-12-15,-0.0106046209693754
usa,gp_at,daily,vw_cap,1,13,6,1950-12-16,-0.00383300307874377
usa,gp_at,daily,vw_cap,1,13,6,1950-12-18,-0.000116071475989028
usa,gp_at,daily,vw_cap,1,13,6,1950-12-19,-0.00460112285392387
usa,gp_at,daily,vw_cap,1,13,6,1950-12-20,0.00760006685200385
usa,gp_at,daily,vw_cap,1,13,6,1950-12-21,-0.000296191305193122
usa,gp_at,daily,vw_cap,1,13,6,1950-12-22,-0.0121413950958945
usa,gp_at,daily,vw_cap,1,13,6,1950-12-26,0.00392524405776374
usa,gp_at,daily,vw_cap,1,13,6,1950-12-27,-0.00233429304880834
usa,gp_at,daily,vw_cap,1,13,6,1950-12-28,0.00015084269062955
usa,gp_at,daily,vw_cap,1,13,6,1950-12-29,0.000514947199338736
usa,gp_at,daily,vw_cap,1,13,6,1950-12-30,0.00443203153382933
usa,gp_at,daily,vw_cap,1,18,9,1951-01-02,-0.0139441548550111
usa,gp_at,daily,vw_cap,1,18,9,1951-01-03,0.0178180213529557
usa,gp_at,daily,vw_cap,1,18,9,1951-01-04,0.00512624609781591
usa,gp_at,daily,vw_cap,1,18,9,1951-01-05,0.00359277751304882
usa,gp_at,daily,vw_cap,1,18,9,1951-01-06,0.00717809859481483
usa,gp_at,daily,vw_cap,1,18,9,1951-01-08,-0.00117689566601551
usa,gp_at,daily,vw_cap,1,18,9,1951-01-09,-0.00060515015976876
usa,gp_at,daily,vw_cap,1,18,9,1951-01-10,0.00498898809984082
usa,gp_at,daily,vw_cap,1,18,9,1951-01-11,-0.0200353990444635
usa,gp_at,daily,vw_cap,1,18,9,1951-01-12,-0.00136587846860727
usa,gp_at,daily,vw_cap,1,18,9,1951-01-13,-0.000288832548272093
usa,gp_at,daily,vw_cap,1,18,9,1951-01-15,-0.00406677127064771
usa,gp_at,daily,vw_cap,1,18,9,1951-01-16,0.00395793060771834
usa,gp_at,daily,vw_cap,1,18,9,1951-01-17,0.00311095855828652
usa,gp_at,daily,vw_cap,1,18,9,1951-01-18,0.00313184158824586
usa,gp_at,daily,vw_cap,1,18,9,1951-01-19,0.00528508860268825
usa,gp_at,daily,vw_cap,1,18,9,1951-01-20,0.00237707916349861
usa,gp_at,daily,vw_cap,1,18,9,1951-01-22,-0.00171085057803056
usa,gp_at,daily,vw_cap,1,18,9,1951-01-23,0.000743935301875673
usa,gp_at,daily,vw_cap,1,18,9,1951-01-24,0.0139249037410428
usa,gp_at,daily,vw_cap,1,18,9,1951-01-25,0.00741940722237691
usa,gp_at,daily,vw_cap,1,18,9,1951-01-26,-0.0085110246748093
usa,gp_at,daily,vw_cap,1,18,9,1951-01-27,-0.00230737242119347
usa,gp_at,daily,vw_cap,1,18,9,1951-01-29,0.00635337126708058
usa,gp_at,daily,vw_cap,1,18,9,1951-01-30,-0.00234683877622776
usa,gp_at,daily,vw_cap,1,18,9,1951-01-31,-0.0130778657242643
usa,gp_at,daily,vw_cap,1,26,12,1951-02-01,0.00718927632791262
usa,gp_at,daily,vw_cap,1,26,12,1951-02-02,0.00745012343007996
usa,gp_at,daily,vw_cap,1,26,12,1951-02-03,-0.000194704950515409
usa,gp_at,daily,vw_cap,1,26,12,1951-02-05,-0.00119816478458596
usa,gp_at,daily,vw_cap,1,26,12,1951-02-06,-0.00986785453247556
usa,gp_at,daily,vw_cap,1,26,12,1951-02-07,0.00756691164662103
usa,gp_at,daily,vw_cap,1,26,12,1951-02-08,-0.00878128466654691
usa,gp_at,daily,vw_cap,1,26,12,1951-02-09,-0.00514775157754141
usa,gp_at,daily,vw_cap,1,26,12,1951-02-10,-0.00356052422825437
usa,gp_at,daily,vw_cap,1,26,12,1951-02-13,-0.0000398515327027253
usa,gp_at,daily,vw_cap,1,26,12,1951-02-14,0.00642733231839576
usa,gp_at,daily,vw_cap,1,26,12,1951-02-15,0.00143041937674846
usa,gp_at,daily,vw_cap,1,26,12,1951-02-16,0.000528553352439951
usa,gp_at,daily,vw_cap,1,26,12,1951-02-17,-0.00125516273119626
usa,gp_at,daily,vw_cap,1,26,12,1951-02-19,0.00395756119332537
usa,gp_at,daily,vw_cap,1,26,12,1951-02-20,-0.00630912469026365
usa,gp_at,daily,vw_cap,1,26,12,1951-02-21,-0.000990867060560615
usa,gp_at,daily,vw_cap,1,26,12,1951-02-23,-0.00212084023441514
usa,gp_at,daily,vw_cap,1,25,12,1951-02-24,-0.000534841255048731
