location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,ni_be,monthly,vw_cap,1,12,5,1950-11-30,-0.0757832797422634
usa,ni_be,monthly,vw_cap,1,15,6,1950-12-31,-0.0179911126871189
usa,ni_be,monthly,vw_cap,1,20,9,1951-01-31,-0.00134029221055811
usa,ni_be,monthly,vw_cap,1,29,13,1951-02-28,0.015822820716039
usa,ni_be,monthly,vw_cap,1,39,18,1951-03-31,-0.0122611119454514
usa,ni_be,monthly,vw_cap,1,44,20,1951-04-30,-0.00781349495605943
usa,ni_be,monthly,vw_cap,1,206,95,1951-05-31,-0.0112303128215133
usa,ni_be,monthly,vw_cap,1,214,98,1951-06-30,0.00492418187487526
usa,ni_be,monthly,vw_cap,1,219,101,1951-07-31,-0.00597848971803859
usa,ni_be,monthly,vw_cap,1,222,103,1951-08-31,-0.00724790763940667
usa,ni_be,monthly,vw_cap,1,226,106,1951-09-30,-0.00625087359463607
usa,ni_be,monthly,vw_cap,1,228,106,1951-10-31,-0.0108855875719351
usa,ni_be,monthly,vw_cap,1,229,107,1951-11-30,-0.000354651124774666
usa,ni_be,monthly,vw_cap,1,230,107,1951-12-31,0.0129261176335769
usa,ni_be,monthly,vw_cap,1,231,107,1952-01-31,-0.0128799991603406
usa,ni_be,monthly,vw_cap,1,228,106,1952-02-29,0.00735760761004951
usa,ni_be,monthly,vw_cap,1,229,107,1952-03-31,0.00810433053172755
usa,ni_be,monthly,vw_cap,1,229,107,1952-04-30,-0.00334642972847777
usa,ni_be,monthly,vw_cap,1,237,109,1952-05-31,0.00154892448080035
usa,ni_be,monthly,vw_cap,1,239,110,1952-06-30,0.0158474588672347
usa,ni_be,monthly,vw_cap,1,239,110,1952-07-31,0.00626802630873665
usa,ni_be,monthly,vw_cap,1,239,109,1952-08-31,-0.00964416699146598
usa,ni_be,monthly,vw_cap,1,239,109,1952-09-30,0.012138586362352
usa,ni_be,monthly,vw_cap,1,240,109,1952-10-31,0.00744719750159638
usa,ni_be,monthly,vw_cap,1,240,110,1952-11-30,0.0121608546412209
usa,ni_be,monthly,vw_cap,1,240,109,1952-12-31,-0.00125867045751765
usa,ni_be,monthly,vw_cap,1,240,109,1953-01-31,-0.0143206096330919
usa,ni_be,monthly,vw_cap,1,240,110,1953-02-28,-0.0104653179101571
usa,ni_be,monthly,vw_cap,1,242,109,1953-03-31,-0.0151830508851184
