Dates,Portfolio1,Portfolio2,Portfolio3,Portfolio4,Portfolio5,Portfolio6,,,RX = Mean,HML = P6 - P1,,,Dates,Aggregate Equity Volatility,,
11/30/1983,-1.30%,-2.70%,-2.67%,0.51%,-2.30%,-1.62%,,,-1.68%,-0.32%,,,11/30/1983,0.00872449998892565,,-1.68%
12/30/1983,-1.45%,-1.68%,-1.34%,0.02%,-1.13%,-0.54%,,,-1.02%,0.91%,,,12/31/1983,0.00958690337196586,0.000862403383040214,-1.02%
1/31/1984,-3.89%,-3.81%,-1.63%,-3.87%,-3.60%,-2.42%,,,-3.21%,1.47%,,,1/31/1984,0.0182732906556932,0.00868638728372733,-3.21%
2/29/1984,3.63%,8.28%,7.87%,0.31%,-0.08%,7.46%,,,4.58%,3.84%,,,2/29/1984,0.00903350006502378,-0.00923979059066942,4.58%
3/30/1984,0.14%,-0.16%,3.71%,-0.60%,-3.26%,-0.13%,,,-0.05%,-0.28%,,,3/31/1984,0.00765506775888631,-0.00137843230613747,-0.05%
4/30/1984,-4.74%,-5.17%,-1.44%,-0.28%,-4.82%,-3.25%,,,-3.28%,1.48%,,,4/30/1984,0.00744062342126699,-0.000214444337619322,-3.28%
5/31/1984,-1.31%,-0.95%,-1.05%,-2.44%,-0.98%,-0.55%,,,-1.21%,0.76%,,,5/31/1984,0.0128168252548396,0.00537620183357261,-1.21%
6/29/1984,-3.59%,-2.18%,-2.15%,-2.87%,-2.24%,-1.88%,,,-2.49%,1.70%,,,6/30/1984,0.00682388485100034,-0.00599294040383925,-2.49%
7/31/1984,-5.82%,-4.84%,-5.10%,-3.67%,-3.85%,-5.61%,,,-4.82%,0.20%,,,7/31/1984,0.00812586008701181,0.00130197523601147,-4.82%
8/31/1984,1.51%,0.10%,1.05%,0.48%,0.38%,1.48%,,,0.83%,-0.03%,,,8/31/1984,0.0159385051601691,0.00781264507315727,0.83%
9/28/1984,-5.03%,-6.19%,-6.09%,-2.57%,-5.78%,-4.08%,,,-4.96%,0.96%,,,9/30/1984,0.00933393253755263,-0.00660457262261645,-4.96%
10/31/1984,0.40%,0.55%,-0.08%,0.52%,0.75%,-2.51%,,,-0.06%,-2.91%,,,10/31/1984,0.00499418055017259,-0.00433975198738005,-0.06%
11/30/1984,-2.45%,-2.44%,-2.50%,-0.92%,-0.19%,-0.45%,,,-1.49%,2.00%,,,11/30/1984,0.00539379006943481,0.000399609519262226,-1.49%
12/31/1984,-2.42%,-2.07%,-2.04%,-1.84%,0.04%,-2.61%,,,-1.82%,-0.19%,,,12/31/1984,0.00557695038201997,0.00018316031258516,-1.82%
1/31/1985,-1.00%,-1.36%,-0.45%,-0.23%,-1.90%,0.02%,,,-0.82%,1.02%,,,1/31/1985,0.0169718012193203,0.0113948508373003,-0.82%
2/28/1985,-5.95%,-3.30%,-3.58%,-4.08%,-6.76%,-3.44%,,,-4.52%,2.51%,,,2/28/1985,0.00736515912891636,-0.00960664209040396,-4.52%
3/29/1985,6.95%,4.59%,4.27%,5.77%,5.08%,8.13%,,,5.80%,1.18%,,,3/31/1985,0.00500153433637694,-0.00236362479253942,5.80%
4/30/1985,-0.51%,-0.58%,-0.26%,0.74%,-2.63%,-0.58%,,,-0.64%,-0.07%,,,4/30/1985,0.0108999202529789,0.00589838591660197,-0.64%
5/31/1985,0.57%,0.52%,0.68%,1.24%,2.58%,1.22%,,,1.13%,0.64%,,,5/31/1985,0.0103833104268538,-0.000516609826125147,1.13%
6/28/1985,0.56%,0.67%,1.46%,0.96%,1.45%,4.16%,,,1.54%,3.60%,,,6/30/1985,0.00913774659442884,-0.00124556383242493,1.54%
7/31/1985,6.41%,4.33%,3.01%,7.77%,6.69%,1.99%,,,5.03%,-4.42%,,,7/31/1985,0.0098414992437279,0.000703752649299066,5.03%
8/30/1985,-0.76%,-1.60%,-0.80%,-0.18%,-0.83%,1.44%,,,-0.45%,2.19%,,,8/31/1985,0.00732576624059635,-0.00251573300313155,-0.45%
9/30/1985,5.06%,2.59%,7.32%,2.25%,3.33%,3.23%,,,3.96%,-1.83%,,,9/30/1985,0.00933897363804805,0.0020132073974517,3.96%
10/31/1985,1.03%,1.58%,0.70%,1.87%,2.53%,3.86%,,,1.93%,2.83%,,,10/31/1985,0.0137235050257008,0.00438453138765278,1.93%
11/29/1985,2.16%,2.42%,2.46%,3.81%,2.43%,0.12%,,,2.23%,-2.04%,,,11/30/1985,0.014841973971416,0.00111846894571517,2.23%
12/31/1985,1.40%,1.18%,1.00%,1.52%,-0.19%,-2.82%,,,0.35%,-4.23%,,,12/31/1985,0.0105099052260406,-0.00433206874537542,0.35%
1/31/1986,1.76%,0.61%,-0.74%,0.87%,5.64%,5.78%,,,2.32%,4.02%,,,1/31/1986,0.00729644363923905,-0.00321346158680153,2.32%
2/28/1986,6.91%,1.95%,2.38%,9.39%,2.90%,4.76%,,,4.72%,-2.15%,,,2/28/1986,0.0141549456981357,0.0068585020588966,4.72%
3/31/1986,-3.99%,-0.34%,-3.90%,-1.27%,-1.52%,0.91%,,,-1.69%,4.90%,,,3/31/1986,0.0235159774514203,0.0093610317532846,-1.69%
4/30/1986,7.13%,2.17%,4.69%,5.06%,3.28%,7.58%,,,4.98%,0.45%,,,4/30/1986,0.0104441073842692,-0.013071870067151,4.98%
5/30/1986,-5.81%,-5.19%,-4.54%,-3.07%,-9.63%,-1.91%,,,-5.03%,3.90%,,,5/31/1986,0.00992883882325085,-0.000515268561018375,-5.03%
6/30/1986,6.36%,2.54%,5.20%,-0.29%,3.70%,-0.66%,,,2.81%,-7.03%,,,6/30/1986,0.0087810998410959,-0.00114773898215494,2.81%
7/31/1986,5.92%,1.80%,1.10%,0.56%,2.79%,-4.46%,,,1.28%,-10.38%,,,7/31/1986,0.0111079399961993,0.00232684015510337,1.28%
8/29/1986,1.33%,1.20%,1.28%,1.32%,1.79%,-0.13%,,,1.13%,-1.46%,,,8/31/1986,0.0166751790848828,0.00556723908868355,1.13%
9/30/1986,-0.33%,0.07%,0.53%,5.28%,-0.69%,1.86%,,,1.12%,2.18%,,,9/30/1986,0.0075447505130078,-0.00913042857187502,1.12%
10/31/1986,-2.43%,-2.47%,-1.37%,-1.28%,-1.70%,2.83%,,,-1.07%,5.26%,,,10/31/1986,0.0122343935971969,0.00468964308418907,-1.07%
11/28/1986,1.38%,3.22%,3.15%,3.41%,2.72%,1.65%,,,2.59%,0.27%,,,11/30/1986,0.00714563996836711,-0.00508875362882975,2.59%
12/31/1986,0.83%,2.38%,1.36%,1.35%,2.72%,3.67%,,,2.05%,2.84%,,,12/31/1986,0.00534187431173421,-0.0018037656566329,2.05%
1/30/1987,2.30%,2.78%,5.03%,4.30%,3.44%,3.04%,,,3.48%,0.74%,,,1/31/1987,0.0150046922286452,0.00966281791691099,3.48%
2/27/1987,-0.14%,0.32%,0.58%,0.86%,1.53%,3.17%,,,1.05%,3.31%,,,2/28/1987,0.0132554245744419,-0.00174926765420329,1.05%
3/31/1987,0.59%,1.99%,1.72%,2.01%,2.91%,4.06%,,,2.21%,3.47%,,,3/31/1987,0.00975574617354102,-0.0034996784009009,2.21%
4/30/1987,1.82%,0.38%,1.27%,-0.28%,0.89%,2.01%,,,1.02%,0.19%,,,4/30/1987,0.00805057413554174,-0.00170517203799928,1.02%
5/29/1987,-2.14%,-0.65%,-1.13%,-0.88%,-1.58%,1.07%,,,-0.88%,3.20%,,,5/31/1987,0.00954403674264895,0.00149346260710722,-0.88%
6/30/1987,-1.44%,-0.33%,-0.58%,-0.44%,-0.28%,2.44%,,,-0.10%,3.89%,,,6/30/1987,0.00903025237811882,-0.000513784364530135,-0.10%
7/31/1987,-2.01%,-0.85%,-0.97%,-0.62%,-1.42%,-2.15%,,,-1.34%,-0.14%,,,7/31/1987,0.0166824874048389,0.00765223502672013,-1.34%
8/31/1987,2.90%,1.66%,1.19%,1.64%,2.33%,3.95%,,,2.28%,1.05%,,,8/31/1987,0.00875990948800073,-0.00792257791683821,2.28%
9/30/1987,-2.38%,-1.01%,-1.02%,-1.07%,0.26%,2.28%,,,-0.49%,4.66%,,,9/30/1987,0.00779870085550741,-0.000961208632493323,-0.49%
10/30/1987,4.46%,3.89%,3.63%,3.31%,4.76%,-3.11%,,,2.82%,-7.57%,,,10/31/1987,0.052366987843802,0.0445682869882946,2.82%
11/30/1987,4.02%,3.83%,2.11%,5.16%,5.29%,6.60%,,,4.50%,2.58%,,,11/30/1987,0.0149525331559608,-0.0374144546878412,4.50%
12/31/1987,4.21%,2.62%,2.73%,2.82%,3.89%,2.43%,,,3.12%,-1.77%,,,12/31/1987,0.00892344741459113,-0.00602908574136969,3.12%
1/29/1988,-3.10%,-4.94%,-3.39%,-5.29%,-3.33%,-2.38%,,,-3.74%,0.72%,,,1/31/1988,0.0187148946359892,0.00979144722139803,-3.74%
2/29/1988,-1.40%,-0.94%,-0.86%,-1.46%,0.52%,1.47%,,,-0.45%,2.87%,,,2/29/1988,0.0198769034821665,0.00116200884617737,-0.45%
3/31/1988,1.11%,0.63%,2.11%,3.58%,0.82%,1.75%,,,1.66%,0.64%,,,3/31/1988,0.0120438864292274,-0.00783301705293911,1.66%
4/29/1988,-1.41%,-0.86%,-1.03%,-0.34%,-0.72%,2.65%,,,-0.29%,4.06%,,,4/30/1988,0.00984508726607751,-0.00219879916314991,-0.29%
5/31/1988,-2.79%,-1.49%,-1.70%,-1.64%,0.99%,-0.20%,,,-1.14%,2.59%,,,5/31/1988,0.0115397933289023,0.00169470606282478,-1.14%
6/30/1988,-6.05%,-3.17%,-5.67%,-4.19%,-2.67%,-2.54%,,,-4.05%,3.51%,,,6/30/1988,0.0125541767128664,0.00101438338396407,-4.05%
7/29/1988,-2.37%,-0.81%,-1.63%,-0.45%,-2.74%,0.39%,,,-1.27%,2.77%,,,7/31/1988,0.00882153475483859,-0.00373264195802778,-1.27%
8/31/1988,-1.58%,-1.95%,-1.16%,-1.21%,-1.39%,-2.38%,,,-1.61%,-0.80%,,,8/31/1988,0.0103619078078025,0.00154037305296389,-1.61%
9/30/1988,-0.32%,0.68%,0.21%,1.01%,0.50%,-0.88%,,,0.20%,-0.57%,,,9/30/1988,0.00910372227033045,-0.00125818553747204,0.20%
10/31/1988,3.98%,3.95%,5.35%,1.42%,3.78%,4.25%,,,3.79%,0.27%,,,10/31/1988,0.0102558426037904,0.00115212033345992,3.79%
11/30/1988,1.44%,2.28%,2.32%,3.64%,3.54%,4.83%,,,3.01%,3.39%,,,11/30/1988,0.00878753195423753,-0.00146831064955284,3.01%
12/30/1988,-2.29%,-3.05%,-1.69%,-0.63%,-1.51%,-2.82%,,,-2.00%,-0.53%,,,12/31/1988,0.0167374176865708,0.00794988573233327,-2.00%
1/31/1989,-4.01%,-3.66%,-5.38%,-0.74%,-3.07%,-0.03%,,,-2.82%,3.98%,,,1/31/1989,0.012967681538385,-0.00376973614818575,-2.82%
2/28/1989,2.60%,0.78%,2.56%,0.56%,1.46%,-4.15%,,,0.63%,-6.75%,,,2/28/1989,0.00849554155588732,-0.00447213998249772,0.63%
3/31/1989,-2.34%,-3.24%,-3.62%,-1.85%,-2.73%,0.16%,,,-2.27%,2.50%,,,3/31/1989,0.0091557432147817,0.000660201658894376,-2.27%
4/28/1989,-0.41%,0.84%,0.66%,0.77%,0.65%,-0.53%,,,0.33%,-0.12%,,,4/30/1989,0.0124754255829523,0.00331968236817058,0.33%
5/31/1989,-2.98%,-4.08%,-5.15%,-2.90%,-3.89%,-5.30%,,,-4.05%,-2.32%,,,5/31/1989,0.0108429010323011,-0.00163252455065115,-4.05%
6/30/1989,-0.61%,1.07%,1.35%,0.33%,0.25%,-0.27%,,,0.35%,0.34%,,,6/30/1989,0.0115387112828533,0.000695810250552204,0.35%
7/31/1989,3.08%,3.26%,4.53%,2.79%,3.21%,4.79%,,,3.61%,1.71%,,,7/31/1989,0.0133391532533999,0.00180044197054654,3.61%
8/31/1989,-2.68%,-4.67%,-2.94%,-3.85%,-0.53%,-2.28%,,,-2.83%,0.40%,,,8/31/1989,0.0210883943746055,0.00774924112120564,-2.83%
9/29/1989,2.60%,2.77%,2.71%,3.77%,1.09%,2.89%,,,2.64%,0.30%,,,9/30/1989,0.0184773306367992,-0.00261106373780633,2.64%
10/31/1989,-0.73%,0.96%,1.15%,0.96%,0.54%,0.85%,,,0.62%,1.57%,,,10/31/1989,0.0116165001113487,-0.00686083052545045,0.62%
11/30/1989,-0.13%,1.47%,3.16%,1.14%,2.51%,0.99%,,,1.52%,1.12%,,,11/30/1989,0.00967315300225304,-0.00194334710909569,1.52%
12/29/1989,0.39%,2.82%,5.31%,4.01%,1.95%,2.57%,,,2.84%,2.18%,,,12/31/1989,0.015247853575751,0.00557470057349794,2.84%
1/31/1990,-0.44%,0.85%,0.44%,1.92%,1.29%,0.90%,,,0.83%,1.34%,,,1/31/1990,0.0150960426818976,-0.000151810893853433,0.83%
2/28/1990,-1.26%,-0.16%,-0.25%,-1.20%,0.02%,0.44%,,,-0.40%,1.71%,,,2/28/1990,0.0109510975124518,-0.00414494516944579,-0.40%
3/30/1990,-3.56%,-0.34%,0.05%,0.19%,0.37%,-0.36%,,,-0.61%,3.20%,,,3/31/1990,0.0111442652562881,0.000193167743836327,-0.61%
4/30/1990,-0.09%,0.48%,2.01%,0.77%,1.52%,0.37%,,,0.84%,0.46%,,,4/30/1990,0.0163410667789893,0.00519680152270118,0.84%
5/31/1990,0.79%,-1.06%,2.87%,-0.65%,-1.05%,1.00%,,,0.32%,0.21%,,,5/31/1990,0.0179449810362314,0.00160391425724217,0.32%
6/29/1990,-0.09%,1.85%,0.58%,1.79%,2.05%,2.54%,,,1.45%,2.63%,,,6/30/1990,0.0106834918773503,-0.0072614891588811,1.45%
7/31/1990,2.15%,4.83%,1.07%,5.14%,4.58%,3.27%,,,3.51%,1.12%,,,7/31/1990,0.00877964911850273,-0.0019038427588476,3.51%
8/31/1990,1.05%,1.62%,0.38%,2.10%,1.20%,1.85%,,,1.37%,0.80%,,,8/31/1990,0.0251822938645746,0.0164026447460718,1.37%
9/28/1990,-0.34%,-0.41%,-0.05%,0.29%,0.12%,0.95%,,,0.09%,1.29%,,,9/30/1990,0.0292965161599544,0.00411422229537982,0.09%
10/31/1990,2.24%,2.88%,3.31%,1.57%,3.29%,0.98%,,,2.38%,-1.26%,,,10/31/1990,0.0161235240183717,-0.0131729921415826,2.38%
11/30/1990,-0.47%,-0.85%,1.05%,0.16%,1.26%,0.54%,,,0.28%,1.01%,,,11/30/1990,0.0127013962942189,-0.0034221277241528,0.28%
