11/1983-10/2011,Average (x 12),Betas HML,Betas RX,Predicted,,Average,Betas RX,Betas Vol,Predicted,Predicted (x12)
Portfolio1,-0.07%,-0.52,0.99,-0.11%,,-0.01%,0.96,0.41,0.02%,0.19%
Portfolio2,1.94%,-0.08,1.01,2.53%,,0.16%,1.01,0.10,0.20%,2.34%
Portfolio3,3.68%,0.00,1.02,3.05%,,0.31%,1.02,0.02,0.24%,2.92%
Portfolio4,3.52%,0.12,0.99,3.64%,,0.29%,1.00,-0.05,0.28%,3.34%
Portfolio5,5.85%,0.48,0.99,5.81%,,0.49%,1.01,-0.48,0.51%,6.14%
RX,2.98%,,,,,,,,,
HML,5.92%,,,,,,Prices of risk,,,
,,,,,,,-0.00547592707795888,0.00248970373602848,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
11/1983-9/2018,Average (x 12),Betas HML,Betas RX,Predicted,,Average,Betas RX,Betas Vol,Predicted,Predicted (x12)
Portfolio1,-1.12%,-0.52,0.99,-0.09%,,-0.09%,0.94,0.38,-0.07%,-0.88%
Portfolio2,0.31%,-0.08,1.00,2.50%,,0.03%,0.99,0.15,0.04%,0.45%
Portfolio3,2.03%,0.00,1.02,3.04%,,0.17%,1.02,0.04,0.09%,1.13%
Portfolio4,1.32%,0.11,1.01,3.64%,,0.11%,1.02,-0.08,0.15%,1.79%
Portfolio5,4.09%,0.48,0.99,5.82%,,0.34%,1.03,-0.50,0.35%,4.17%
RX,1.33%,,,,,,,,,
HML,5.21%,,,,,,Prices of risk,,,
,,,,,,,-0.00467842184252764,0.00111022930892604,,
