Dates,Portfolio1,Portfolio2,Portfolio3,Portfolio4,Portfolio5,,,,RX = Mean,HML = P5 - P1
11/30/1983,-0.0120945319740501,-0.0273992945981066,-0.0273886405033946,0.00447889750215325,-0.0219277334048924,,,,-1.69%,-0.98%
12/30/1983,-0.012907671107028,-0.0179591836734693,-0.0141046831955923,-0.000604229607250817,-0.0139418002372481,,,,-1.19%,-0.10%
1/31/1984,-0.0371783496007099,-0.0388325413149869,-0.0170820021299254,-0.0399180844360427,-0.0355405784342724,,,,-3.37%,0.16%
2/29/1984,0.0374306839186691,0.0822260735605622,0.0779481935923654,0.00257069408740351,0.0758563008137903,,,,5.52%,3.84%
3/30/1984,0.00237099023709897,-0.00227667374107643,0.0363028953229398,-0.0334360761190029,0.00523397006996351,,,,0.16%,0.29%
4/30/1984,-0.0465820529948786,-0.0521691176470589,-0.0151167915381225,-0.0488163265306122,-0.0394899586431235,,,,-4.04%,0.71%
5/31/1984,-0.012212389380531,-0.00987744649716482,-0.011195846178809,-0.0251241096481761,-0.00579625655529267,,,,-1.28%,0.64%
6/29/1984,-0.0349356223175965,-0.0223580158159596,-0.0223249880401849,-0.0294736842105263,-0.0188438385688547,,,,-2.56%,1.61%
7/31/1984,-0.0573753814852492,-0.0489767841788478,-0.0517110266159696,-0.0372604973501836,-0.0373382056912799,,,,-4.65%,2.00%
8/31/1984,0.0160847880299251,0.000519210799584613,0.0101440874461742,0.00414619164619157,0.000561825933266841,,,,0.63%,-1.55%
9/28/1984,-0.0478520286396182,-0.062969004893964,-0.062547033285094,-0.0268016194331984,-0.0551545558729182,,,,-5.11%,-0.73%
10/31/1984,0.00661322645290596,0.00435356200527726,-0.00211425086399675,0.00356933879461674,-0.000746882295397683,,,,0.23%,-0.74%
11/30/1984,-0.0235617514235225,-0.0249959631842402,-0.0254722381224957,-0.00961810466760971,-0.0170656436248685,,,,-2.01%,0.65%
12/31/1984,-0.0226923076923078,-0.0217415730337078,-0.0211227402473834,-0.019268970997219,-0.0210461968703163,,,,-2.12%,0.16%
1/31/1985,-0.0117037081142619,-0.017312866313706,-0.0078573564127889,-0.00311644002339834,-0.0106956410885567,,,,-1.01%,0.10%
2/28/1985,-0.0566039711326329,-0.0597755333007148,-0.0373991750065584,-0.0482770697758497,-0.0581493012709808,,,,-5.20%,-0.15%
3/29/1985,0.0718014725786369,0.0255450034218268,0.0738981915916542,0.0483443116556168,0.0694389421586233,,,,5.78%,-0.24%
4/30/1985,-0.00322840751200393,-0.00891036633426645,-0.00115769207882499,-0.0089160792338937,-0.0154793140560407,,,,-0.75%,-1.23%
5/31/1985,0.0120555806125283,0.0059974545646726,0.0103431967761236,0.00240252360176457,0.0202751194173013,,,,1.02%,0.82%
6/28/1985,0.0115233103096961,0.00837849835609028,0.014267583289265,0.010391350158544,0.0260988629335159,,,,1.41%,1.46%
7/31/1985,0.0910345275710441,0.0637428307098253,0.0403690425144571,0.0790514196377243,0.070372720295837,,,,6.89%,-2.07%
8/30/1985,-0.00470335505582908,-0.00764158637747087,-0.00964421238058166,-0.00880906524394692,0.00365226109043261,,,,-0.54%,0.84%
9/30/1985,0.0490595686930955,0.0720505840110539,0.0214910400580304,0.0500959168502544,0.0261015394198194,,,,4.38%,-2.30%
10/31/1985,0.0200607049292538,0.0199754638093792,0.0155495562445087,0.0244168957997535,0.0274010785610489,,,,2.15%,0.73%
11/29/1985,0.034586557615691,0.0158624706654825,0.0417152111862063,0.0335271770894214,0.0211939417077207,,,,2.94%,-1.34%
