,Global component of the Dollar factor,
1/31/1984,,(in %)
2/29/1984,,
3/30/1984,,
4/30/1984,,
5/31/1984,,
6/29/1984,,
7/31/1984,,
8/31/1984,,
9/28/1984,,
10/31/1984,,
11/30/1984,,
12/31/1984,,
1/31/1985,,
2/28/1985,,
3/29/1985,,
4/30/1985,,
5/31/1985,,
6/28/1985,,
7/31/1985,,
8/30/1985,,
9/30/1985,,
10/31/1985,,
11/29/1985,,
12/31/1985,,
1/31/1986,,
2/28/1986,,
3/31/1986,,
4/30/1986,,
5/30/1986,,
6/30/1986,,
7/31/1986,,
8/29/1986,,
9/30/1986,,
10/31/1986,,
11/28/1986,,
12/31/1986,,
1/30/1987,,
2/27/1987,,
3/31/1987,,
4/30/1987,,
5/29/1987,,
6/30/1987,,
7/31/1987,,
8/31/1987,,
9/30/1987,,
10/30/1987,,
11/30/1987,,
12/31/1987,,
1/29/1988,,
2/29/1988,,
3/31/1988,,
4/29/1988,,
5/31/1988,,
6/30/1988,,
7/29/1988,,
8/31/1988,,
9/30/1988,,
10/31/1988,,
11/30/1988,-0.00950058985540108,
12/30/1988,0.0222143840652738,
1/31/1989,0.0576717314705388,5.76717314705388
2/28/1989,-0.0338530726592839,-3.38530726592838
3/31/1989,0.049183102130847,4.9183102130847
4/28/1989,0.00512163185706496,0.512163185706496
5/31/1989,0.031869566302843,3.1869566302843
6/30/1989,-0.0106349646758296,-1.06349646758296
7/31/1989,-0.0335760620172872,-3.35760620172872
8/31/1989,0.0438840792534279,4.38840792534279
9/29/1989,-0.0423174768960778,-4.23174768960778
10/31/1989,-0.0139453191748843,-1.39453191748843
11/30/1989,-0.023289380270558,-2.3289380270558
12/29/1989,-0.0435038805894376,-4.35038805894376
1/31/1990,-0.0271874456548327,-2.71874456548327
2/28/1990,-0.00350171110395628,-0.350171110395628
3/30/1990,0.0193032966696515,1.93032966696515
4/30/1990,-0.00713400275907353,-0.713400275907353
5/31/1990,-0.00792918732779833,-0.792918732779833
6/29/1990,-0.0129601924702837,-1.29601924702837
7/31/1990,-0.0401717646000327,-4.01717646000328
8/31/1990,-0.0113435789240093,-1.13435789240093
