,Port. 1,Port. 2,Port. 3,Port. 4,Port. 5,Port. 6
1/31/1984,,,,,,
2/29/1984,,,,,,
3/30/1984,,,,,,
4/30/1984,,,,,,
5/31/1984,,,,,,
6/29/1984,,,,,,
7/31/1984,,,,,,
8/31/1984,,,,,,
9/28/1984,,,,,,
10/31/1984,,,,,,
11/30/1984,,,,,,
12/31/1984,,,,,,
1/31/1985,,,,,,
2/28/1985,,,,,,
3/29/1985,,,,,,
4/30/1985,,,,,,
5/31/1985,,,,,,
6/28/1985,,,,,,
7/31/1985,,,,,,
8/30/1985,,,,,,
9/30/1985,,,,,,
10/31/1985,,,,,,
11/29/1985,,,,,,
12/31/1985,,,,,,
1/31/1986,,,,,,
2/28/1986,,,,,,
3/31/1986,,,,,,
4/30/1986,,,,,,
5/30/1986,,,,,,
6/30/1986,,,,,,
7/31/1986,,,,,,
8/29/1986,,,,,,
9/30/1986,,,,,,
10/31/1986,,,,,,
11/28/1986,,,,,,
12/31/1986,,,,,,
1/30/1987,,,,,,
2/27/1987,,,,,,
3/31/1987,,,,,,
4/30/1987,,,,,,
5/29/1987,,,,,,
6/30/1987,,,,,,
7/31/1987,,,,,,
8/31/1987,,,,,,
9/30/1987,,,,,,
10/30/1987,,,,,,
11/30/1987,,,,,,
12/31/1987,,,,,,
1/29/1988,,,,,,
2/29/1988,,,,,,
3/31/1988,,,,,,
4/29/1988,,,,,,
5/31/1988,,,,,,
6/30/1988,,,,,,
7/29/1988,,,,,,
8/31/1988,,,,,,
9/30/1988,,,,,,
10/31/1988,,,,,,
11/30/1988,0.0168376471360659,0.0371652648303182,0.0431050281647028,0.0331446874186203,0.0229126850027266,0.0234753827835187
12/30/1988,-0.00678568959674495,-0.022010043850538,-0.0222980368140711,-0.0151972568407299,-0.0242004246640617,-0.0309917248583816
1/31/1989,-0.000752171679658366,0.00177841409946162,-0.0277282674114625,-0.0311978620203062,-0.0552632948095533,-0.0607678950793766
2/28/1989,-0.00492798642485757,-0.0214671837067795,0.00141813618544171,0.00865515257222568,0.0252495878708389,0.0263009537160859
