,Port. 1,Port. 2,Port. 3,Port. 4,Port. 5,Port. 6
1/31/1984,,,,,,
2/29/1984,,,,,,
3/30/1984,,,,,,
4/30/1984,,,,,,
5/31/1984,,,,,,
6/29/1984,,,,,,
7/31/1984,,,,,,
8/31/1984,,,,,,
9/28/1984,,,,,,
10/31/1984,,,,,,
11/30/1984,,,,,,
12/31/1984,,,,,,
1/31/1985,,,,,,
2/28/1985,,,,,,
3/29/1985,,,,,,
4/30/1985,,,,,,
5/31/1985,,,,,,
6/28/1985,,,,,,
7/31/1985,,,,,,
8/30/1985,,,,,,
9/30/1985,,,,,,
10/31/1985,,,,,,
11/29/1985,,,,,,
12/31/1985,,,,,,
1/31/1986,,,,,,
2/28/1986,,,,,,
3/31/1986,,,,,,
4/30/1986,,,,,,
5/30/1986,,,,,,
6/30/1986,,,,,,
7/31/1986,,,,,,
8/29/1986,,,,,,
9/30/1986,,,,,,
10/31/1986,,,,,,
11/28/1986,,,,,,
12/31/1986,,,,,,
1/30/1987,,,,,,
2/27/1987,,,,,,
3/31/1987,,,,,,
4/30/1987,,,,,,
5/29/1987,,,,,,
6/30/1987,,,,,,
7/31/1987,,,,,,
8/31/1987,,,,,,
9/30/1987,,,,,,
10/30/1987,,,,,,
11/30/1987,,,,,,
12/31/1987,,,,,,
1/29/1988,,,,,,
2/29/1988,,,,,,
3/31/1988,,,,,,
4/29/1988,,,,,,
5/31/1988,,,,,,
6/30/1988,,,,,,
7/29/1988,,,,,,
8/31/1988,,,,,,
9/30/1988,,,,,,
10/31/1988,,,,,,
11/30/1988,-0.0170366544905636,-0.0353544376349078,-0.043600614150658,-0.0302864447406633,-0.0236140366871818,-0.0265372443459647
12/30/1988,0.00496650623639335,0.0207086010804996,0.0253896275017452,0.0174806623257115,0.0219050212411051,0.0271808903016672
1/31/1989,-0.000387742900913069,-9.12841090054753E-05,0.0280707284814627,0.0338054584572368,0.0540794383557002,0.0572839885696257
2/28/1989,0.00509405913376576,0.023087517126455,-0.00125251534901529,-0.00666462309956035,-0.0261079613730388,-0.0287590135255181
