location,name,freq,weighting,n_factors,date,ret
usa,momentum,daily,vw_cap,1,1926-04-01,-0.00568479459093644
usa,momentum,daily,vw_cap,1,1926-04-03,-0.000163815156431846
usa,momentum,daily,vw_cap,1,1926-04-05,0.00245850042227092
usa,momentum,daily,vw_cap,1,1926-04-06,-0.00907905935960688
usa,momentum,daily,vw_cap,1,1926-04-07,0.00180523818559157
usa,momentum,daily,vw_cap,1,1926-04-08,0.000715334025453282
usa,momentum,daily,vw_cap,1,1926-04-09,0.00174173787718418
usa,momentum,daily,vw_cap,1,1926-04-10,0.000224158183430022
usa,momentum,daily,vw_cap,1,1926-04-12,0.0105916436044522
usa,momentum,daily,vw_cap,1,1926-04-13,-0.0060623588089199
usa,momentum,daily,vw_cap,1,1926-04-14,0.00768858981949001
usa,momentum,daily,vw_cap,1,1926-04-15,-0.00404032385985823
usa,momentum,daily,vw_cap,1,1926-04-16,0.00161050730134975
usa,momentum,daily,vw_cap,1,1926-04-17,-0.00068821008049893
usa,momentum,daily,vw_cap,1,1926-04-19,-0.000344112930191198
usa,momentum,daily,vw_cap,1,1926-04-20,-0.00344876351104734
usa,momentum,daily,vw_cap,1,1926-04-21,-0.00894106877021193
usa,momentum,daily,vw_cap,1,1926-04-22,-0.00717927254395252
usa,momentum,daily,vw_cap,1,1926-04-23,-0.00543008527200549
usa,momentum,daily,vw_cap,1,1926-04-24,-0.00196948757260357
usa,momentum,daily,vw_cap,1,1926-04-26,0.00700209297942253
usa,momentum,daily,vw_cap,1,1926-04-27,0.0015607735572168
usa,momentum,daily,vw_cap,1,1926-04-28,-0.000383505451374029
usa,momentum,daily,vw_cap,1,1926-04-29,0.00150747674535886
usa,momentum,daily,vw_cap,1,1926-04-30,0.00464488981769847
usa,momentum,daily,vw_cap,1,1926-05-01,0.00330005004322136
usa,momentum,daily,vw_cap,1,1926-05-03,0.0143680235301977
usa,momentum,daily,vw_cap,1,1926-05-04,-0.00556761603279964
usa,momentum,daily,vw_cap,1,1926-05-05,-0.00309499993313254
usa,momentum,daily,vw_cap,1,1926-05-06,-0.000261384543717961
usa,momentum,daily,vw_cap,1,1926-05-07,0.0124995209464704
usa,momentum,daily,vw_cap,1,1926-05-08,-0.000695192019578695
usa,momentum,daily,vw_cap,1,1926-05-10,0.0027881512017002
usa,momentum,daily,vw_cap,1,1926-05-11,-0.000877181022217862
usa,momentum,daily,vw_cap,1,1926-05-12,0.00182068030121914
usa,momentum,daily,vw_cap,1,1926-05-13,0.00452887206874603
usa,momentum,daily,vw_cap,1,1926-05-14,0.0045004031257975
usa,momentum,daily,vw_cap,1,1926-05-15,0.0108905422845285
usa,momentum,daily,vw_cap,1,1926-05-17,0.00197570128975928
usa,momentum,daily,vw_cap,1,1926-05-18,0.00679709918602075
usa,momentum,daily,vw_cap,1,1926-05-19,0.00501714741757613
usa,momentum,daily,vw_cap,1,1926-05-20,-0.011239894761631
usa,momentum,daily,vw_cap,1,1926-05-21,-0.00852014630162626
usa,momentum,daily,vw_cap,1,1926-05-22,-0.00182026934458347
usa,momentum,daily,vw_cap,1,1926-05-24,-0.00263727563948606
usa,momentum,daily,vw_cap,1,1926-05-25,-0.00734744369040206
usa,momentum,daily,vw_cap,1,1926-05-26,0.00471466562725494
usa,momentum,daily,vw_cap,1,1926-05-27,-0.00624352197951231
usa,momentum,daily,vw_cap,1,1926-05-28,-0.00890649390436867
usa,momentum,daily,vw_cap,2,1926-06-01,0.00216259253312047
usa,momentum,daily,vw_cap,2,1926-06-02,-0.00874345849292836
usa,momentum,daily,vw_cap,2,1926-06-03,-0.0110765975620639
usa,momentum,daily,vw_cap,2,1926-06-04,0.00241682485433237
usa,momentum,daily,vw_cap,2,1926-06-05,-0.00188123181160186
usa,momentum,daily,vw_cap,2,1926-06-07,-0.00646498173272816
usa,momentum,daily,vw_cap,2,1926-06-08,-0.00129323755388262
usa,momentum,daily,vw_cap,2,1926-06-09,-0.000816306537774557
usa,momentum,daily,vw_cap,2,1926-06-10,0.00240367758748866
usa,momentum,daily,vw_cap,2,1926-06-11,-0.000530481427814525
usa,momentum,daily,vw_cap,2,1926-06-12,-0.00242755017784323
usa,momentum,daily,vw_cap,2,1926-06-14,-0.0161106264575083
usa,momentum,daily,vw_cap,2,1926-06-15,0.000829534195380077
usa,momentum,daily,vw_cap,2,1926-06-16,-0.00221662246242551
usa,momentum,daily,vw_cap,2,1926-06-17,-0.00405044896744342
usa,momentum,daily,vw_cap,2,1926-06-18,-0.000104721596737865
usa,momentum,daily,vw_cap,2,1926-06-19,-0.00109693024357477
usa,momentum,daily,vw_cap,2,1926-06-21,0.0017559728971156
usa,momentum,daily,vw_cap,2,1926-06-22,0.00216593194468182
usa,momentum,daily,vw_cap,2,1926-06-23,0.00985854067721262
usa,momentum,daily,vw_cap,2,1926-06-24,0.00162265684971662
usa,momentum,daily,vw_cap,2,1926-06-25,0.0075762995771496
usa,momentum,daily,vw_cap,2,1926-06-26,-0.00182124040359481
usa,momentum,daily,vw_cap,2,1926-06-28,0.000440110784311104
usa,momentum,daily,vw_cap,2,1926-06-29,-0.00418416175116838
usa,momentum,daily,vw_cap,2,1926-06-30,-0.00267002470399093
usa,momentum,daily,vw_cap,3,1926-07-01,-0.0000343339199541644
usa,momentum,daily,vw_cap,3,1926-07-02,-0.00139015652060127
usa,momentum,daily,vw_cap,3,1926-07-06,0.000843845023910288
usa,momentum,daily,vw_cap,3,1926-07-07,-0.00280891134643938
usa,momentum,daily,vw_cap,3,1926-07-08,-0.00312719561337847
usa,momentum,daily,vw_cap,3,1926-07-09,0.00227337805855311
usa,momentum,daily,vw_cap,3,1926-07-10,0.00034036352523989
usa,momentum,daily,vw_cap,3,1926-07-12,0.000392406274375278
usa,momentum,daily,vw_cap,3,1926-07-13,-0.000316551470741772
usa,momentum,daily,vw_cap,3,1926-07-14,-0.00654008228429517
usa,momentum,daily,vw_cap,3,1926-07-15,0.00123200302456084
usa,momentum,daily,vw_cap,3,1926-07-16,-0.00116204243011446
usa,momentum,daily,vw_cap,3,1926-07-17,-0.00343444449016734
usa,momentum,daily,vw_cap,3,1926-07-19,-0.00356475369574224
usa,momentum,daily,vw_cap,3,1926-07-20,-0.00953403149208918
usa,momentum,daily,vw_cap,3,1926-07-21,0.00729451351799729
usa,momentum,daily,vw_cap,3,1926-07-22,0.00479497777199317
usa,momentum,daily,vw_cap,3,1926-07-23,0.00333420771490483
usa,momentum,daily,vw_cap,3,1926-07-24,-0.000407083226835259
usa,momentum,daily,vw_cap,3,1926-07-26,0.00328143969008534
usa,momentum,daily,vw_cap,3,1926-07-27,0.000153137121158582
usa,momentum,daily,vw_cap,3,1926-07-28,-0.00415226785825801
usa,momentum,daily,vw_cap,3,1926-07-29,-0.0004866342174848
usa,momentum,daily,vw_cap,3,1926-07-30,-0.00079336204274936
usa,momentum,daily,vw_cap,3,1926-07-31,-0.000857311209162792
usa,momentum,daily,vw_cap,3,1926-08-02,0.00179190833485629
usa,momentum,daily,vw_cap,3,1926-08-03,-0.00113231706974942
usa,momentum,daily,vw_cap,3,1926-08-04,0.000690624079270274
usa,momentum,daily,vw_cap,3,1926-08-05,0.000089283804452134
usa,momentum,daily,vw_cap,3,1926-08-06,-0.000855971988323934
usa,momentum,daily,vw_cap,3,1926-08-07,-0.0011988210993742
usa,momentum,daily,vw_cap,3,1926-08-09,0.00319942929458911
usa,momentum,daily,vw_cap,3,1926-08-10,-0.00106728126921286
usa,momentum,daily,vw_cap,3,1926-08-11,-0.00154327882693606
usa,momentum,daily,vw_cap,3,1926-08-12,0.00755962191155024
usa,momentum,daily,vw_cap,3,1926-08-13,0.000758639962269892
usa,momentum,daily,vw_cap,3,1926-08-14,-0.000668071442750657
usa,momentum,daily,vw_cap,3,1926-08-16,0.00361461756197149
usa,momentum,daily,vw_cap,3,1926-08-17,0.00153493945636191
usa,momentum,daily,vw_cap,3,1926-08-18,0.000461864276438752
usa,momentum,daily,vw_cap,3,1926-08-19,-0.00259686487222889
usa,momentum,daily,vw_cap,3,1926-08-20,0.00243049880992935
usa,momentum,daily,vw_cap,3,1926-08-21,-0.0017253819052404
usa,momentum,daily,vw_cap,3,1926-08-23,0.0022577169902319
usa,momentum,daily,vw_cap,3,1926-08-24,-0.00196903526012258
usa,momentum,daily,vw_cap,3,1926-08-25,-0.00127067427522766
usa,momentum,daily,vw_cap,3,1926-08-26,0.00288705916835262
usa,momentum,daily,vw_cap,3,1926-08-27,-0.00115543694831811
usa,momentum,daily,vw_cap,3,1926-08-28,0.00117819236697595
usa,momentum,daily,vw_cap,3,1926-08-30,0.00128992769955637
usa,momentum,daily,vw_cap,3,1926-08-31,0.0033392621032594
usa,momentum,daily,vw_cap,3,1926-09-01,0.000370773964544975
usa,momentum,daily,vw_cap,3,1926-09-02,-0.0000849711877560572
usa,momentum,daily,vw_cap,3,1926-09-03,0.0025359473382267
usa,momentum,daily,vw_cap,3,1926-09-07,-0.00271311030910392
usa,momentum,daily,vw_cap,3,1926-09-08,0.0002559421320553
usa,momentum,daily,vw_cap,3,1926-09-09,-0.000423908874219604
usa,momentum,daily,vw_cap,3,1926-09-10,0.00177369584260518
usa,momentum,daily,vw_cap,3,1926-09-11,-0.00218920464326581
usa,momentum,daily,vw_cap,3,1926-09-13,0.0035849564374952
usa,momentum,daily,vw_cap,3,1926-09-14,0.0032155488112775
usa,momentum,daily,vw_cap,3,1926-09-15,-0.00215459992792002
usa,momentum,daily,vw_cap,3,1926-09-16,0.00368352790346682
usa,momentum,daily,vw_cap,3,1926-09-17,0.00328764021895686
usa,momentum,daily,vw_cap,3,1926-09-18,0.00352951791909489
usa,momentum,daily,vw_cap,3,1926-09-20,0.00290995956638702
usa,momentum,daily,vw_cap,3,1926-09-21,0.00240732258635758
usa,momentum,daily,vw_cap,3,1926-09-22,0.00117550578696443
usa,momentum,daily,vw_cap,3,1926-09-23,0.000665116650923238
usa,momentum,daily,vw_cap,3,1926-09-24,-0.000714874702268414
usa,momentum,daily,vw_cap,3,1926-09-25,0.00124035151791606
usa,momentum,daily,vw_cap,3,1926-09-27,0.00166950989523409
usa,momentum,daily,vw_cap,3,1926-09-28,0.00107033113508708
usa,momentum,daily,vw_cap,3,1926-09-29,0.0031228872355507
usa,momentum,daily,vw_cap,3,1926-09-30,-0.000129338852594259
usa,momentum,daily,vw_cap,4,1926-10-01,0.00282112303922955
usa,momentum,daily,vw_cap,4,1926-10-02,0.000909408230229944
usa,momentum,daily,vw_cap,4,1926-10-04,0.00113194684356339
