location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,ni_be,daily,vw_cap,1,12,5,1950-11-01,-0.0167268713664721
usa,ni_be,daily,vw_cap,1,12,5,1950-11-02,0.00426689309004002
usa,ni_be,daily,vw_cap,1,12,5,1950-11-03,0.00528488757661812
usa,ni_be,daily,vw_cap,1,12,5,1950-11-04,0.00515907113220281
usa,ni_be,daily,vw_cap,1,12,5,1950-11-06,-0.00287920523161222
usa,ni_be,daily,vw_cap,1,12,5,1950-11-08,-0.00448201695251492
usa,ni_be,daily,vw_cap,1,12,5,1950-11-09,-0.000356829858892806
usa,ni_be,daily,vw_cap,1,12,5,1950-11-10,-0.00941614772632207
usa,ni_be,daily,vw_cap,1,12,5,1950-11-13,-0.00645366874897734
usa,ni_be,daily,vw_cap,1,12,5,1950-11-14,0.00210942701696401
usa,ni_be,daily,vw_cap,1,12,5,1950-11-15,-0.0071759855943937
usa,ni_be,daily,vw_cap,1,12,5,1950-11-16,0.00101843364393384
usa,ni_be,daily,vw_cap,1,12,5,1950-11-17,-0.0200930764810965
usa,ni_be,daily,vw_cap,1,12,5,1950-11-18,0.00228455589682846
usa,ni_be,daily,vw_cap,1,12,5,1950-11-20,-0.00164845223291933
usa,ni_be,daily,vw_cap,1,12,5,1950-11-21,-0.0124840504530512
usa,ni_be,daily,vw_cap,1,12,5,1950-11-22,-0.016762804383244
usa,ni_be,daily,vw_cap,1,12,5,1950-11-24,0.00728021725836001
usa,ni_be,daily,vw_cap,1,12,5,1950-11-25,0.0025280266818022
usa,ni_be,daily,vw_cap,1,12,5,1950-11-27,0.005503230836106
usa,ni_be,daily,vw_cap,1,12,5,1950-11-28,0.00541507897443752
usa,ni_be,daily,vw_cap,1,12,5,1950-11-29,-0.00495495640476501
usa,ni_be,daily,vw_cap,1,12,5,1950-11-30,-0.0154449597140207
usa,ni_be,daily,vw_cap,1,15,6,1950-12-01,0.00497624756564982
usa,ni_be,daily,vw_cap,1,15,6,1950-12-02,0.0106588382500694
usa,ni_be,daily,vw_cap,1,15,6,1950-12-04,-0.000374374420760694
usa,ni_be,daily,vw_cap,1,15,6,1950-12-05,-0.0018232869844305
usa,ni_be,daily,vw_cap,1,15,6,1950-12-06,-0.00696280089213447
usa,ni_be,daily,vw_cap,1,15,6,1950-12-07,0.00280108356537251
usa,ni_be,daily,vw_cap,1,15,6,1950-12-08,-0.00350810184824685
usa,ni_be,daily,vw_cap,1,15,6,1950-12-09,-0.00164999182148709
usa,ni_be,daily,vw_cap,1,15,6,1950-12-11,-0.00801824891001998
usa,ni_be,daily,vw_cap,1,15,6,1950-12-12,-0.00977164270186023
usa,ni_be,daily,vw_cap,1,15,6,1950-12-13,0.0121126817596667
usa,ni_be,daily,vw_cap,1,15,6,1950-12-14,-0.00681078132435945
usa,ni_be,daily,vw_cap,1,15,6,1950-12-15,-0.00636166232319991
usa,ni_be,daily,vw_cap,1,15,6,1950-12-16,-0.000742386801943881
usa,ni_be,daily,vw_cap,1,15,6,1950-12-18,-0.0166946396917065
usa,ni_be,daily,vw_cap,1,15,6,1950-12-19,0.000114318911484192
usa,ni_be,daily,vw_cap,1,15,6,1950-12-20,0.00572845530964717
usa,ni_be,daily,vw_cap,1,15,6,1950-12-21,-0.00603725521910713
usa,ni_be,daily,vw_cap,1,15,6,1950-12-22,-0.0000688209351847819
usa,ni_be,daily,vw_cap,1,15,6,1950-12-26,0.0181739119831495
usa,ni_be,daily,vw_cap,1,15,6,1950-12-27,-0.0118956736301313
usa,ni_be,daily,vw_cap,1,15,6,1950-12-28,0.000965508598300613
