Dates,Portfolio1,Portfolio2,Portfolio3,Portfolio4,Portfolio5,Portfolio6
1/31/1995,0.98%,-0.46%,-3.56%,-2.86%,-5.99%,-4.57%
2/28/1995,-7.27%,-9.58%,-2.85%,2.77%,2.99%,-1.52%
3/31/1995,-3.61%,5.92%,-8.02%,1.24%,1.96%,-0.86%
4/28/1995,11.91%,8.09%,11.70%,1.04%,1.58%,5.27%
5/31/1995,5.12%,6.82%,9.16%,4.48%,5.02%,9.40%
6/30/1995,0.90%,3.20%,-1.26%,0.54%,7.46%,-2.03%
7/31/1995,-0.86%,1.52%,0.16%,-1.05%,-2.26%,0.20%
8/31/1995,1.01%,1.44%,1.16%,1.69%,2.47%,2.12%
9/29/1995,0.55%,0.73%,0.18%,0.89%,2.87%,3.71%
10/31/1995,1.15%,-0.65%,-0.96%,1.16%,0.47%,-1.23%
11/30/1995,4.06%,-0.46%,4.89%,0.98%,1.70%,-0.46%
12/29/1995,1.09%,5.84%,4.92%,0.85%,1.03%,7.34%
1/31/1996,0.76%,1.83%,7.29%,0.33%,5.51%,11.25%
2/29/1996,-1.30%,-1.00%,-7.76%,-2.07%,-2.61%,-5.65%
3/29/1996,-0.87%,0.45%,2.55%,-1.53%,-1.71%,3.44%
4/30/1996,-1.12%,-1.17%,0.85%,4.13%,2.74%,5.34%
5/31/1996,-0.63%,-0.66%,0.11%,-0.20%,-1.21%,2.40%
6/28/1996,0.55%,2.52%,0.40%,1.31%,0.77%,2.42%
7/31/1996,0.18%,-0.01%,0.14%,0.96%,0.09%,0.55%
8/30/1996,0.10%,-0.20%,1.14%,1.43%,3.56%,2.81%
9/30/1996,1.28%,1.56%,1.33%,-0.19%,3.50%,6.89%
10/31/1996,2.01%,1.91%,0.74%,2.38%,0.35%,-0.48%
11/29/1996,1.80%,1.69%,3.10%,4.25%,4.83%,5.55%
12/31/1996,-0.99%,-1.39%,0.14%,-1.06%,0.39%,1.23%
1/31/1997,0.10%,2.86%,2.20%,-0.62%,0.12%,1.54%
2/28/1997,-0.23%,1.25%,0.48%,-0.10%,-1.91%,2.01%
3/31/1997,-1.73%,-1.42%,-1.71%,-1.88%,-4.29%,-6.00%
4/30/1997,0.59%,2.28%,1.74%,0.58%,2.81%,3.10%
5/30/1997,0.74%,0.49%,1.68%,0.38%,2.67%,4.36%
6/30/1997,0.79%,0.35%,0.68%,1.39%,1.44%,3.38%
7/31/1997,2.32%,-0.08%,1.59%,2.90%,2.00%,3.86%
8/29/1997,-1.69%,-0.82%,-0.90%,-2.84%,-0.79%,0.24%
9/30/1997,0.84%,0.48%,1.29%,1.41%,1.21%,2.93%
10/31/1997,-2.35%,-7.27%,-6.07%,-4.07%,-7.80%,-11.72%
11/28/1997,-0.69%,1.83%,2.60%,0.66%,3.85%,2.98%
12/31/1997,-7.68%,1.70%,2.06%,-4.17%,1.30%,3.09%
1/30/1998,4.47%,-1.73%,3.48%,0.31%,1.52%,-3.20%
2/27/1998,4.16%,1.48%,2.03%,0.92%,1.45%,1.38%
3/31/1998,2.10%,1.12%,3.28%,-0.54%,0.81%,1.49%
4/30/1998,-0.01%,-1.08%,0.21%,-0.50%,0.56%,-0.52%
5/29/1998,-2.47%,-1.61%,-5.91%,-0.77%,-0.72%,-1.71%
6/30/1998,-2.29%,-2.63%,-5.86%,-2.41%,-1.35%,-2.88%
7/31/1998,1.52%,1.15%,-1.00%,-0.44%,-0.28%,-1.27%
8/31/1998,-20.11%,-25.51%,-40.80%,-13.79%,-15.90%,-26.31%
9/30/1998,4.18%,8.17%,1.91%,1.21%,12.15%,16.26%
10/30/1998,2.89%,4.96%,8.64%,12.82%,3.50%,11.40%
11/30/1998,8.35%,2.26%,11.38%,7.72%,7.26%,4.69%
12/31/1998,-0.98%,0.98%,-5.19%,0.37%,0.56%,0.56%
1/29/1999,2.04%,-2.88%,0.52%,4.29%,0.28%,-1.78%
2/26/1999,-1.17%,2.08%,-0.94%,0.42%,-0.60%,2.04%
3/31/1999,2.04%,7.90%,4.65%,2.22%,1.96%,4.70%
4/30/1999,0.57%,4.21%,12.33%,1.65%,2.36%,4.82%
5/31/1999,-5.16%,-7.32%,-1.96%,-2.46%,-3.35%,-5.00%
6/30/1999,0.90%,0.88%,9.50%,1.01%,0.78%,2.66%
7/30/1999,-0.54%,-1.52%,0.73%,-2.25%,-0.53%,-1.13%
8/31/1999,-0.83%,0.30%,-1.88%,0.11%,0.81%,-1.74%
9/30/1999,1.68%,3.58%,-0.81%,1.08%,3.18%,4.47%
10/29/1999,1.56%,2.10%,5.52%,0.49%,1.10%,3.49%
11/30/1999,0.15%,1.83%,6.55%,1.31%,1.62%,1.17%
12/31/1999,-0.83%,1.67%,2.29%,-0.22%,3.13%,6.66%
1/31/2000,-0.99%,0.39%,0.67%,-1.74%,-1.06%,-2.65%
2/29/2000,0.88%,0.91%,5.85%,1.24%,1.95%,5.51%
3/31/2000,0.33%,0.74%,2.68%,0.50%,-0.17%,-0.76%
4/28/2000,-0.23%,-5.93%,-0.34%,-1.15%,-2.21%,-2.67%
5/31/2000,-1.77%,-1.42%,-2.73%,-1.27%,-2.50%,-2.51%
6/30/2000,1.29%,2.09%,1.70%,4.28%,4.13%,6.19%
7/31/2000,1.67%,0.73%,1.33%,2.02%,1.40%,3.12%
8/31/2000,1.46%,1.40%,0.89%,3.02%,2.36%,6.93%
9/29/2000,0.13%,-0.28%,-1.63%,-2.02%,-3.64%,-1.97%
10/31/2000,-0.54%,-0.35%,-0.63%,-2.96%,-3.52%,-1.94%
11/30/2000,1.11%,1.07%,-1.53%,0.68%,-0.16%,-2.72%
12/29/2000,2.76%,1.81%,1.76%,2.39%,6.22%,2.83%
1/31/2001,1.34%,1.39%,2.72%,3.68%,3.52%,7.96%
2/28/2001,1.32%,0.51%,-1.57%,0.02%,0.56%,-0.97%
3/30/2001,0.54%,1.01%,0.00%,1.29%,-1.68%,-2.54%
4/30/2001,-0.72%,-1.39%,0.31%,-0.19%,-4.52%,1.13%
5/31/2001,0.76%,0.09%,1.66%,2.43%,1.90%,5.25%
6/29/2001,0.34%,1.02%,0.81%,1.39%,4.64%,2.84%
7/31/2001,1.55%,-0.29%,-2.04%,0.94%,-1.52%,-7.65%
8/31/2001,1.07%,2.38%,2.61%,1.67%,3.88%,6.32%
9/28/2001,1.18%,-0.34%,-3.68%,0.12%,-3.86%,-3.05%
10/31/2001,1.19%,0.78%,3.01%,2.18%,2.55%,-2.23%
11/30/2001,0.34%,-0.72%,1.45%,2.09%,3.59%,-2.85%
12/31/2001,0.17%,2.23%,1.74%,-0.71%,0.69%,-1.30%
1/31/2002,0.76%,0.62%,3.12%,0.76%,2.09%,1.80%
2/28/2002,-2.62%,1.62%,3.33%,1.16%,1.87%,3.81%
3/29/2002,-0.30%,1.10%,1.55%,-0.78%,-1.36%,-2.80%
4/30/2002,1.18%,-0.21%,2.56%,1.60%,2.59%,-1.64%
5/31/2002,0.66%,-0.61%,-2.06%,0.35%,1.23%,-0.67%
6/28/2002,0.01%,-2.55%,-4.79%,0.18%,-0.18%,-5.80%
7/31/2002,-3.38%,-5.37%,-3.86%,1.63%,1.42%,-6.11%
8/30/2002,1.87%,2.43%,9.17%,2.84%,2.20%,10.21%
9/30/2002,0.86%,-0.14%,0.10%,2.49%,0.96%,-9.18%
10/31/2002,0.25%,1.06%,3.24%,-0.78%,6.84%,9.47%
11/29/2002,0.07%,1.81%,3.73%,-0.37%,2.97%,1.97%
12/31/2002,1.53%,2.32%,2.63%,2.62%,2.78%,4.15%
1/31/2003,-0.15%,0.99%,1.62%,0.19%,0.82%,5.88%
2/28/2003,1.38%,0.97%,0.37%,2.13%,2.62%,-0.29%
