location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,betabab_1260d,monthly,vw_cap,-1,161,76,1928-08-31,-0.0657996392021158
usa,betabab_1260d,monthly,vw_cap,-1,209,99,1928-09-30,-0.0353602667354025
usa,betabab_1260d,monthly,vw_cap,-1,228,107,1928-10-31,-0.00249101264929097
usa,betabab_1260d,monthly,vw_cap,-1,241,111,1928-11-30,-0.0703450393414914
usa,betabab_1260d,monthly,vw_cap,-1,250,116,1928-12-31,-0.00809614761901688
usa,betabab_1260d,monthly,vw_cap,-1,260,122,1929-01-31,-0.00185151774219679
usa,betabab_1260d,monthly,vw_cap,-1,262,124,1929-02-28,-0.0403203647685548
usa,betabab_1260d,monthly,vw_cap,-1,272,129,1929-03-31,0.0205950208491242
usa,betabab_1260d,monthly,vw_cap,-1,278,132,1929-04-30,-0.0100884566999121
usa,betabab_1260d,monthly,vw_cap,-1,284,134,1929-05-31,0.0857802176906205
usa,betabab_1260d,monthly,vw_cap,-1,284,132,1929-06-30,-0.0564290599123256
usa,betabab_1260d,monthly,vw_cap,-1,287,130,1929-07-31,0.034316911821032
usa,betabab_1260d,monthly,vw_cap,-1,290,130,1929-08-31,0.00743964545684274
usa,betabab_1260d,monthly,vw_cap,-1,290,130,1929-09-30,0.00897394291506443
usa,betabab_1260d,monthly,vw_cap,-1,290,128,1929-10-31,0.132604475848826
usa,betabab_1260d,monthly,vw_cap,-1,292,137,1929-11-30,0.0973012736009725
usa,betabab_1260d,monthly,vw_cap,-1,300,141,1929-12-31,-0.047228882799301
usa,betabab_1260d,monthly,vw_cap,-1,303,141,1930-01-31,-0.0561200108441622
usa,betabab_1260d,monthly,vw_cap,-1,307,144,1930-02-28,-0.0392038258498902
usa,betabab_1260d,monthly,vw_cap,-1,312,146,1930-03-31,-0.0123537932107703
usa,betabab_1260d,monthly,vw_cap,-1,307,146,1930-04-30,-0.0128842423167166
usa,betabab_1260d,monthly,vw_cap,-1,309,144,1930-05-31,0.00660913419609041
usa,betabab_1260d,monthly,vw_cap,-1,305,139,1930-06-30,0.110391192261783
usa,betabab_1260d,monthly,vw_cap,-1,309,138,1930-07-31,-0.0373871202473005
usa,betabab_1260d,monthly,vw_cap,-1,306,140,1930-08-31,0.000021161624027979
usa,betabab_1260d,monthly,vw_cap,-1,306,138,1930-09-30,0.0803365245617454
usa,betabab_1260d,monthly,vw_cap,-1,308,139,1930-10-31,0.0585329064227146
usa,betabab_1260d,monthly,vw_cap,-1,312,133,1930-11-30,-0.0188055959766117
usa,betabab_1260d,monthly,vw_cap,-1,318,130,1930-12-31,0.0337383270997952
usa,betabab_1260d,monthly,vw_cap,-1,322,129,1931-01-31,-0.0186239659723736
usa,betabab_1260d,monthly,vw_cap,-1,325,132,1931-02-28,-0.160969130541581
usa,betabab_1260d,monthly,vw_cap,-1,327,132,1931-03-31,0.0508315280793871
usa,betabab_1260d,monthly,vw_cap,-1,324,131,1931-04-30,0.0742974211892226
usa,betabab_1260d,monthly,vw_cap,-1,325,131,1931-05-31,0.0857153475331871
usa,betabab_1260d,monthly,vw_cap,-1,326,131,1931-06-30,-0.15356795216133
usa,betabab_1260d,monthly,vw_cap,-1,328,136,1931-07-31,0.0610485026140559
usa,betabab_1260d,monthly,vw_cap,-1,326,134,1931-08-31,-0.0178908870915518
usa,betabab_1260d,monthly,vw_cap,-1,324,135,1931-09-30,0.150188742225886
usa,betabab_1260d,monthly,vw_cap,-1,326,137,1931-10-31,-0.0871347510343924
usa,betabab_1260d,monthly,vw_cap,-1,331,143,1931-11-30,0.077697560870487
usa,betabab_1260d,monthly,vw_cap,-1,325,141,1931-12-31,0.107613330653684
usa,betabab_1260d,monthly,vw_cap,-1,333,140,1932-01-31,-0.0532388140176724
usa,betabab_1260d,monthly,vw_cap,-1,334,145,1932-02-29,0.0217864331666449
usa,betabab_1260d,monthly,vw_cap,-1,333,147,1932-03-31,0.119388305415059
usa,betabab_1260d,monthly,vw_cap,-1,330,150,1932-04-30,0.0579024912151745
usa,betabab_1260d,monthly,vw_cap,-1,332,147,1932-05-31,0.143160810507766
usa,betabab_1260d,monthly,vw_cap,-1,323,144,1932-06-30,-0.061456037050751
usa,betabab_1260d,monthly,vw_cap,-1,317,143,1932-07-31,-0.444869242284088
usa,betabab_1260d,monthly,vw_cap,-1,312,145,1932-08-31,-0.594594664986605
usa,betabab_1260d,monthly,vw_cap,-1,311,145,1932-09-30,0.0309494507464253
usa,betabab_1260d,monthly,vw_cap,-1,323,152,1932-10-31,0.160365846684471
usa,betabab_1260d,monthly,vw_cap,-1,316,146,1932-11-30,0.0998472714068702
usa,betabab_1260d,monthly,vw_cap,-1,315,145,1932-12-31,0.0313629072575619
usa,betabab_1260d,monthly,vw_cap,-1,313,143,1933-01-31,-0.0256515562237064
usa,betabab_1260d,monthly,vw_cap,-1,312,145,1933-02-28,0.144609247611818
usa,betabab_1260d,monthly,vw_cap,-1,311,144,1933-03-31,-0.018513044430461
usa,betabab_1260d,monthly,vw_cap,-1,307,145,1933-04-30,-0.380544344274999
usa,betabab_1260d,monthly,vw_cap,-1,311,147,1933-05-31,-0.205176223145022
usa,betabab_1260d,monthly,vw_cap,-1,319,151,1933-06-30,-0.0989350114894626
